58,艾塔纪元 ,移动,重庆聚购科技发展有限公司 ,重庆煜颜文化传播有限责任公司 
59,牧野之歌 ,客户端,重庆华龙网集团股份有限公司 ,重庆易加网络科技有限公司 
60,时光镇 ,移动,四三九九网络股份有限公司 ,四三九九网络股份有限公司 
61,西游释厄传 ,移动,成都盈众九州网络科技有限公司 ,上海魔克信息科技有限公司 
62,赛尔号巅峰之战 ,移动,上海淘米网络科技有限公司 ,上海淘米网络科技有限公司 
63,和平武馆 ,移动,江西高校出版社有限责任公司 ,上海鹿撞网络科技有限公司 
64,故土与新世界 ,移动,广东海燕电子音像出版社有限公司 ,广州趣虎网络科技有限公司 
65,幽梦寻踪 ,移动,福建电子音像出版社有限责任公司 ,摩多（厦门）科技有限公司 
66,刀剑悠悠 ,移动,方圆电子音像出版社有限责任公司 ,海南灵游网络科技有限公司 
67,王国传承 ,移动,大唐网络有限公司 ,北京攸乐科技有限公司 
68,一大堆弓箭手 ,移动,成都盈众九州网络科技有限公司 ,广州捌佰玩网络科技有限公司 
69,超凡先锋 ,移动,广州网易计算机系统有限公司 ,杭州网易雷火科技有限公司 
70,侠道游歌 ,客户端,深圳中青宝互动网络股份有限公司 ,皖新文化科技有限公司 
71,扶摇一梦 ,移动,三七互娱（上海）科技有限公司 ,上海硬通网络科技有限公司 
72,斗神萌将 ,移动,宁波东海岸电子音像出版社有限公司 ,广州创畅网络科技有限公司 
73,光明重现 ,移动,华东师范大学电子音像出版社有限公司 ,上海领音文化传播有限公司 
74,电竞练习生 ,移动,湖北省扬子江影音有限责任公司 ,昆山悦趣信息科技有限公司 
75,火力城堡 ,移动,杭州美盛游戏技术开发有限公司 ,深圳市忆酷互动游戏有限责任公司 
76,异度旅人 ,移动,湖北省扬子江影音有限责任公司 ,武汉东方幻想网络科技有限公司 
77,崩坏：星穹铁道 ,移动、客户端,上海声像电子出版社 ,上海米哈游影铁科技有限公司 
78,诸天仙灵图 ,移动,上海电子出版有限公司 ,拾疏（上海）科技有限公司 
79,哞哩的长梦 ,移动、客户端,江苏凤凰数字传媒有限公司 ,海南星嘉科技有限公司 
80,锦绣商铺 ,移动,黑龙江龙华数字出版股份有限公司 ,广州游爱数据汇互联网有限公司 
81,疯狂美食大厨 ,移动,合肥乐堂动漫信息技术有限公司 ,合肥乐堂动漫信息技术有限公司 
82,灵梦传 ,移动,杭州润趣科技有限公司 ,杭州傲天科技有限公司 
83,时空边际 ,移动,杭州渡口网络科技有限公司 ,上海喵果信息技术有限公司 
84,万乘之国 ,移动,海南省电子音像出版社有限公司 ,海南玩梦网络科技有限公司 
85,仙与仙游 ,移动,广州盈正信息技术有限公司 ,厦门百盛青文化传媒有限公司 
86,白夜极光 ,移动,北京中电电子出版社 ,北京博润智佳科技有限公司 
87,四季之春 ,客户端,深圳中青宝互动网络股份有限公司 ,上海心愉计算机科技有限公司 
