时间,名称,申报类别,出版单位,运营单位,标签1,标签2,标签3,标签4,标签5,标签6,标签7,标签8,标签9,标签10
2023/1/17,王国传承,移动,大唐网络有限公司,北京攸乐科技有限公司,,,,,,,,,,
2023/1/17,一大堆弓箭手,移动,成都盈众九州网络科技有限公司,广州捌佰玩网络科技有限公司,,,,,,,,,,
2023/1/17,超凡先锋,移动,广州网易计算机系统有限公司,杭州网易雷火科技有限公司,,,,,,,,,,
2023/1/17,侠道游歌,客户端,深圳中青宝互动网络股份有限公司,皖新文化科技有限公司,,,,,,,,,,
2023/1/17,扶摇一梦,移动,三七互娱（上海）科技有限公司,上海硬通网络科技有限公司,,,,,,,,,,
2023/1/17,斗神萌将,移动,宁波东海岸电子音像出版社有限公司,广州创畅网络科技有限公司,,,,,,,,,,
2023/1/17,光明重现,移动,华东师范大学电子音像出版社有限公司,上海领音文化传播有限公司,,,,,,,,,,
2023/1/17,电竞练习生,移动,湖北省扬子江影音有限责任公司,昆山悦趣信息科技有限公司,,,,,,,,,,
2023/1/17,火力城堡,移动,杭州美盛游戏技术开发有限公司,深圳市忆酷互动游戏有限责任公司,,,,,,,,,,
2023/1/17,异度旅人,移动,湖北省扬子江影音有限责任公司,武汉东方幻想网络科技有限公司,,,,,,,,,,
2023/1/17,崩坏：星穹铁道,移动、客户端,上海声像电子出版社,上海米哈游影铁科技有限公司,,,,,,,,,,
2023/1/17,诸天仙灵图,移动,上海电子出版有限公司,拾疏（上海）科技有限公司,,,,,,,,,,
2023/1/17,哞哩的长梦,移动、客户端,江苏凤凰数字传媒有限公司,海南星嘉科技有限公司,,,,,,,,,,
2023/1/17,锦绣商铺,移动,黑龙江龙华数字出版股份有限公司,广州游爱数据汇互联网有限公司,,,,,,,,,,
2023/1/17,疯狂美食大厨,移动,合肥乐堂动漫信息技术有限公司,合肥乐堂动漫信息技术有限公司,,,,,,,,,,
2023/1/17,灵梦传,移动,杭州润趣科技有限公司,杭州傲天科技有限公司,,,,,,,,,,
2023/1/17,时空边际,移动,杭州渡口网络科技有限公司,上海喵果信息技术有限公司,,,,,,,,,,
2023/1/17,万乘之国,移动,海南省电子音像出版社有限公司,海南玩梦网络科技有限公司,,,,,,,,,,
2023/1/17,仙与仙游,移动,广州盈正信息技术有限公司,厦门百盛青文化传媒有限公司,,,,,,,,,,
2023/1/17,白夜极光,移动,北京中电电子出版社,北京博润智佳科技有限公司,,,,,,,,,,
2023/1/17,四季之春,客户端,深圳中青宝互动网络股份有限公司,上海心愉计算机科技有限公司,,,,,,,,,,
2023/2/10,欢乐美食家,移动-休闲益智,广东音像出版社有限公司,深圳传趣网络技术有限公司,,,,,,,,,,
2023/2/10,小兵大作战,移动,方圆电子音像出版社有限责任公司,海南旭游科技有限公司,,,,,,,,,,
2023/2/10,九牧之野,移动,海南省电子音像出版社有限公司,海南灵游网络科技有限公司,,,,,,,,,,
2023/2/10,葫芦娃大作战,移动,黑龙江龙华数字出版股份有限公司,深圳市大梦龙途文化传播有限公司,,,,,,,,,,
2023/2/10,魔典秘闻,移动,四川数字出版传媒有限公司,深圳市凉屋游戏科技有限公司,,,,,,,,,,
2023/2/10,魔法连环消,移动-休闲益智,杭州边锋网络技术有限公司,杭州边锋网络技术有限公司,,,,,,,,,,
2023/2/10,棋兵斗阵,移动,方圆电子音像出版社有限责任公司,深圳市游帆互动科技有限公司,,,,,,,,,,
2023/2/10,盟主大作战,移动,广州谷得网络科技有限公司,北京比特漫步科技有限公司,,,,,,,,,,
2023/2/10,银河境界线,移动,宁波东海岸电子音像出版社有限公司,上海掌致信息科技有限公司,,,,,,,,,,
2023/2/10,街篮,客户端,北京目标在线科技有限公司,北京目标在线科技有限公司,,,,,,,,,,
2023/2/10,趣味动脑大冒险,移动-休闲益智,浙江文艺音像出版社有限公司,北京光耀大地科技有限公司,,,,,,,,,,
2023/2/10,梦幻西游：时空,客户端,广州网易计算机系统有限公司,杭州网易雷火科技有限公司,,,,,,,,,,
2023/2/10,封神幻想世界,移动,厦门雷霆互动网络有限公司,深圳雷霆信息技术有限公司,,,,,,,,,,
2023/2/10,英雄之冠,移动,深圳中青宝互动网络股份有限公司,深圳市苏摩科技有限公司,,,,,,,,,,
2023/2/10,荒古与魔法,移动,上海商国网络科技发展有限公司,上海云履网络科技有限公司,,,,,,,,,,
2023/2/10,奇幻部落,移动,湖北省扬子江影音有限责任公司,海南新游网络科技有限公司,,,,,,,,,,
2023/2/10,圣塔纪元,移动,成都盈众九州网络科技有限公司,成都奇迹世界科技有限公司,,,,,,,,,,
2023/2/10,模拟水族箱,移动-休闲益智,合肥乐堂动漫信息技术有限公司,合肥乐堂动漫信息技术有限公司,,,,,,,,,,
2023/2/10,召唤师盛典,移动,成都盈众九州网络科技有限公司,海南舜杰网络科技有限公司,,,,,,,,,,
2023/2/10,冲啊原始人,移动,天津电子出版社有限公司,波克斯（北京）科技有限公司,,,,,,,,,,
2023/2/10,尘星之息,移动,重庆聚购科技发展有限公司,重庆环游者网络科技有限公司,,,,,,,,,,
2023/2/10,洪荒传说,移动,安徽新华电子音像出版社,芜湖光联文化传媒有限公司,,,,,,,,,,
2023/2/10,三国小将,移动,上海双盟网络科技有限公司,上海双盟网络科技有限公司,,,,,,,,,,
2023/2/10,山海记,移动,杭州渡口网络科技有限公司,杭州有欧气网络科技有限公司,,,,,,,,,,
2023/2/10,这城有良田,移动,广东海燕电子音像出版社有限公司,益世界网络科技（广东）有限公司,,,,,,,,,,
2023/2/10,深渊之下,移动,江苏凤凰数字传媒有限公司,杭州祈点信息技术有限责任公司,,,,,,,,,,
2023/2/10,时序残响,移动,广州百田信息科技有限公司,广州天梯网络科技有限公司,,,,,,,,,,
2023/2/10,离火之境,移动,天津电子出版社有限公司,海南离火网络有限公司,,,,,,,,,,
2023/2/10,努力走出去,移动-休闲益智,杭州乐港科技有限公司,北京乐杰轮科技有限公司,,,,,,,,,,
2023/2/10,神魂契约,移动,杭州润趣科技有限公司,深圳闲时游戏有限公司,,,,,,,,,,
2023/2/10,九州英杰录,客户端,上海方寸信息科技有限公司,上海都萌网络科技有限公司,,,,,,,,,,
2023/2/10,向往的生活,移动,湖南快乐芒果互娱科技有限公司,湖南快乐芒果互娱科技有限公司,,,,,,,,,,
2023/2/10,奔月的糯米团,移动-休闲益智,杭州乐港科技有限公司,宿州手游互联信息技术有限公司,,,,,,,,,,
2023/2/10,重启：黎明之所,移动,安徽新华电子音像出版社,广州火羽信息科技有限公司,,,,,,,,,,
2023/2/10,狩游世界·起源,移动,河北冠林数字出版有限公司,深圳市狩游网络科技有限公司,,,,,,,,,,
2023/2/10,动物星球,客户端,北京光宇在线科技有限责任公司,北京光宇在线科技有限责任公司,,,,,,,,,,
2023/2/10,王者万象棋,移动,重庆天健电子音像出版有限公司,重庆市腾讯计算机系统有限公司,,,,,,,,,,
2023/2/10,指尖征战,移动,杭州美盛游戏技术开发有限公司,四川水果互动科技有限公司,,,,,,,,,,
2023/2/10,秘境消除故事,移动-休闲益智,广州盈正信息技术有限公司,合肥乐攸信息科技有限公司,,,,,,,,,,
2023/2/10,圣光战纪,移动,浙江出版集团数字传媒有限公司,绍兴方趣网络科技有限公司,,,,,,,,,,
2023/2/10,原始奇兵,移动,广州四三九九信息科技有限公司,广州四三九九信息科技有限公司,,,,,,,,,,
2023/2/10,战梦时空,移动,成都超级梦网络技术股份有限公司,上海雨玩网络科技有限公司,,,,,,,,,,
2023/2/10,捉妖小队,移动,杭州群游科技有限公司,福州易酷网络科技有限公司,,,,,,,,,,
2023/2/10,逆袭的仙王,移动,成都超级梦网络技术股份有限公司,海南元辉网络科技有限公司,,,,,,,,,,
2023/2/10,超能力套环,移动-休闲益智,华中科技大学电子音像出版社,南京原极信息科技有限公司,,,,,,,,,,
2023/2/10,弈战国,移动,北京联合出版有限责任公司,北京掌印互动科技有限公司,,,,,,,,,,
2023/2/10,动物星友会,移动,湖北省扬子江影音有限责任公司,海南云趣网络科技有限公司,,,,,,,,,,
2023/2/10,蛮荒冲突,移动,杭州群游科技有限公司,万界（上海）网络股份有限公司,,,,,,,,,,
2023/2/10,城主天下,移动,杭州润趣科技有限公司,海南臻友网络科技有限公司,,,,,,,,,,
2023/2/10,动物防线,移动,杭州烈焰网络技术有限公司,上海灵刃网络科技有限公司,,,,,,,,,,
2023/2/10,动脑风暴挑战,移动-休闲益智,吉林音像出版社有限责任公司,北京掌上易游科技有限公司,,,,,,,,,,
2023/2/10,驯龙之旅,移动,上海同济大学电子音像出版社有限公司,上海歆瑷网络科技有限公司,,,,,,,,,,
2023/2/10,龙域争霸,移动,上海科学技术文献出版社有限公司,上海常游网络科技有限公司,,,,,,,,,,
2023/2/10,卡噗拉契约,移动,杭州电魂网络科技股份有限公司,杭州电魂网络科技股份有限公司,,,,,,,,,,
2023/2/10,神奇生物学,移动,上海众源网络有限公司,上海众源网络有限公司,,,,,,,,,,
2023/2/10,墨影侠踪,客户端,江苏凤凰电子音像出版社有限公司,南京市玩趣互动科技有限公司,,,,,,,,,,
2023/2/10,狩猎吧！原始人,移动,北京目标在线科技有限公司,北京微游互动网络科技有限公司,,,,,,,,,,
2023/2/10,龙与魔法城,移动,深圳中青宝互动网络股份有限公司,广州互娱网络科技有限公司,,,,,,,,,,
2023/2/10,新天龙八部,移动,北京畅游时代数码技术有限公司,北京卓意麦斯科技有限公司,,,,,,,,,,
2023/2/10,万世镜,移动,山东科学技术出版社有限公司,深圳市畅玩网络科技有限公司,,,,,,,,,,
2023/2/10,边境传说,移动,杭州紫府网络科技有限公司,南京迈乐游信息技术有限公司,,,,,,,,,,
2023/2/10,春秋玄奇,移动,广州市动景计算机科技有限公司,广州灵犀互动娱乐有限公司,,,,,,,,,,
2023/2/10,七千兆亿的星空,移动,上海科学技术文献出版社有限公司,上海盛展网络科技有限公司,,,,,,,,,,
2023/2/10,时间之钥,移动,黑龙江科学技术出版社有限公司,成都心游良品科技有限公司,,,,,,,,,,
2023/2/10,一花织境,移动,上海同济大学电子音像出版社有限公司,上海玄星网络科技有限公司,,,,,,,,,,
2023/2/10,虚空战争,移动,上海电子出版有限公司,上海沪首网络科技有限公司,,,,,,,,,,
2023/2/10,森友突击队,移动,咪咕互动娱乐有限公司,咪咕文化科技有限公司,,,,,,,,,,
2023/2/10,小镇冒险家,移动,海南省电子音像出版社有限公司,海南高图网络科技有限公司,,,,,,,,,,
2023/2/10,天使之歌,移动,辽宁电子出版社有限责任公司,中传互动（湖北）信息技术有限公司,,,,,,,,,,
2023/2/10,中国台球,移动-休闲益智,辽宁电子出版社有限责任公司,北京智胜万合台球文化发展有限公司,,,,,,,,,,
2023/2/10,快到碗里来,游戏机-Switch,上海电子出版有限公司,上海盛齐信息技术有限公司,,,,,,,,,,
2023/2/10,龙魂：学院奇闻,客户端,江苏凤凰数字传媒有限公司,烽火连城（北京）科技有限公司,,,,,,,,,,
2023/2/10,星之觉醒,移动,华东师范大学电子音像出版社有限公司,上海敢客网络科技有限公司,,,,,,,,,,
2023/2/10,史莱姆与地下城,移动,杭州紫府网络科技有限公司,海南龙晴游戏科技有限公司,,,,,,,,,,
2023/2/10,梦蝶,移动-休闲益智,广州盈正信息技术有限公司,海南星嘉科技有限公司,,,,,,,,,,
2023/2/10,超链勇者之诗,移动,杭州美盛游戏技术开发有限公司,深圳顺源网络科技有限公司,,,,,,,,,,
2023/2/10,战道,移动,上海商国网络科技发展有限公司,上海曲蔺网络科技有限公司,,,,,,,,,,
2023/2/10,浮生忆玲珑,移动,江苏凤凰电子音像出版社有限公司,苏州沁游网络科技有限公司,,,,,,,,,,
2023/2/10,新不良人,移动,宁波东海岸电子音像出版社有限公司,海南侠义文化科技有限公司,,,,,,,,,,
2023/2/10,开心大碰撞,移动,黑龙江龙华数字出版股份有限公司,厦门御长风网络科技有限公司,,,,,,,,,,
2023/2/10,超瞬息联结,移动,华东师范大学电子音像出版社有限公司,北京有爱互娱科技有限公司,,,,,,,,,,
2023/2/10,香肠派对,客户端,上海隐志网络科技有限公司,心动网络股份有限公司,,,,,,,,,,
2023/2/10,矩阵临界：失控边缘,移动,浙江出版集团数字传媒有限公司,海南里游互娱科技有限公司,,,,,,,,,,
2023/2/10,璃芯溯源,移动,杭州烈焰网络技术有限公司,汐轩阁（天津）科技有限公司,,,,,,,,,,
2023/2/10,豆豆的村庄,移动,西安交通大学出版社有限责任公司,西安乐推网络科技有限公司,,,,,,,,,,
2023/2/10,雷电：觉醒,移动,三辰影库音像出版社有限公司,上海蜂驰网络科技有限公司,,,,,,,,,,
2023/2/10,青青农场,移动,北京青年报网际传播技术有限公司,北京优路互娱科技有限公司,,,,,,,,,,
2023/3/22,艺术发展国,移动,辽宁电子出版社有限责任公司,苏州溪客时代网络科技有限公司,,,,,,,,,,
2023/3/22,掌门江湖路,移动,杭州紫府网络科技有限公司,遇哈游（辽宁）网络科技有限公司,,,,,,,,,,
2023/3/22,远古灵域,移动,杭州群游科技有限公司,广州边在晓峰网络科技有限公司,,,,,,,,,,
2023/3/22,明日纷争,移动,华中科技大学电子音像出版社,上海聪盛网络科技有限公司,,,,,,,,,,
2023/3/22,闪耀设计师,移动,杭州美盛游戏技术开发有限公司,广州汉正信息技术有限公司,,,,,,,,,,
2023/3/22,仙宗大掌门,移动、网页,上海同济大学电子音像出版社有限公司,上海竹子互联网信息服务有限公司,,,,,,,,,,
2023/3/22,创造吧！我们的星球,移动,上海科学技术文献出版社有限公司,上海映雄体育文化有限公司,,,,,,,,,,
2023/3/22,卡拉彼丘,移动、客户端,深圳市创梦天地科技有限公司,深圳市创梦天地科技有限公司,,,,,,,,,,
2023/3/22,喷气火箭人,移动-休闲益智,吉林音像出版社有限责任公司,北京亦乐通科技发展有限公司,,,,,,,,,,
2023/3/22,传世天下,移动,上海数龙科技有限公司,上海数龙科技有限公司,,,,,,,,,,
2023/3/22,指尖之旅,移动-休闲益智,波克科技股份有限公司,上海点喵网络科技有限公司,,,,,,,,,,
2023/3/22,星星生活乐园,移动,广东海燕电子音像出版社有限公司,广州三七网络科技有限公司,,,,,,,,,,
2023/3/22,奶茶拼图,移动-休闲益智,北京北纬通信科技股份有限公司,北京北纬通信科技股份有限公司,,,,,,,,,,
2023/3/22,重返未来：1999,移动,上海科学技术文献出版社有限公司,上海深蓝互动星锑网络科技有限公司,,,,,,,,,,
2023/3/22,葫芦娃：奇遇之旅,移动,成都超级梦网络技术股份有限公司,上海昶飞网络科技有限公司,,,,,,,,,,
2023/3/22,曙光调查团,移动,深圳中青宝互动网络股份有限公司,广州互娱网络科技有限公司,,,,,,,,,,
2023/3/22,硬核机甲,游戏机-Switch,厦门雷霆互动网络有限公司,深圳雷霆信息技术有限公司,,,,,,,,,,
2023/3/22,仙遇,移动,海南省电子音像出版社有限公司,海南元游信息技术有限公司,,,,,,,,,,
2023/3/22,幻世与冒险,移动,华东师范大学电子音像出版社有限公司,上海沐瞳科技有限公司,,,,,,,,,,
2023/3/22,决斗者之魂,移动,黑龙江龙华数字出版股份有限公司,深圳市心迹网络科技有限公司,,,,,,,,,,
2023/3/22,闪耀时装店,移动-休闲益智,杭州哲信信息技术有限公司,南京红豆信息技术有限公司,,,,,,,,,,
2023/3/22,西游战棋,移动,宁波东海岸电子音像出版社有限公司,杭州星帆广告传媒有限公司,,,,,,,,,,
2023/3/22,剑神如梦令,移动,杭州群游科技有限公司,厦门可莫奇网络科技有限公司,,,,,,,,,,
2023/3/22,巴别号漫游指南,移动、客户端、游戏机-Switch,江苏凤凰数字传媒有限公司,上海阑星网络科技有限公司,,,,,,,,,,
2023/3/22,汪汪快跑,移动-休闲益智,上海方寸信息科技有限公司,上海圣汇网络科技有限公司,,,,,,,,,,
2023/3/22,通关吧英雄,移动,杭州润趣科技有限公司,海南开承网络科技有限公司,,,,,,,,,,
2023/3/22,明月传奇,移动,江西高校出版社有限责任公司,江西省国民传奇网络技术有限公司,,,,,,,,,,
2023/3/22,剑影江湖,移动,北京中清龙图网络技术有限公司,北京指上缤纷科技股份有限公司,,,,,,,,,,
2023/3/22,异界迷林,移动-休闲益智,广东太平洋电子出版社有限公司,广州千果互动传媒有限公司,,,,,,,,,,
2023/3/22,喵掌柜的料理屋,移动,宁波东海岸电子音像出版社有限公司,北京盖姆加科技有限公司,,,,,,,,,,
2023/3/22,绝对防御,移动-休闲益智,上海双盟网络科技有限公司,上海迄宣网络科技有限公司,,,,,,,,,,
2023/3/22,蜗牛竞走,移动-休闲益智,广州盈正信息技术有限公司,海南圣享网络科技有限公司,,,,,,,,,,
2023/3/22,少年包青天,移动,成都超级梦网络技术股份有限公司,海南神手信息科技有限公司,,,,,,,,,,
2023/3/22,莱茵幻想,移动,海南省电子音像出版社有限公司,海南炫焰网络科技有限公司,,,,,,,,,,
2023/3/22,枪王之神射手,移动-休闲益智,上海大承网络技术有限公司,上海大承网络技术有限公司,,,,,,,,,,
2023/3/22,重力光球,移动-休闲益智,杭州乐港科技有限公司,宿州手游互联信息技术有限公司,,,,,,,,,,
2023/3/22,拼个模型去旅行,移动,山东科学技术出版社有限公司,青岛蓝飞互娱科技股份有限公司,,,,,,,,,,
2023/3/22,果宝无双,移动,四三九九网络股份有限公司,四三九九网络股份有限公司,,,,,,,,,,
2023/3/22,逆光潜入,移动,上海电子出版有限公司,上海空塔网络科技有限公司,,,,,,,,,,
2023/3/22,恋与深空,移动,上海科学技术文献出版社有限公司,上海叠纸互娱网络科技有限公司,,,,,,,,,,
2023/3/22,全战纪,移动,方圆电子音像出版社有限责任公司,深圳指间趣科技有限公司,,,,,,,,,,
2023/3/22,进击的堡垒,移动,深圳中青宝互动网络股份有限公司,厦门勇仕网络技术股份有限公司,,,,,,,,,,
2023/3/22,侠剑狂歌,移动,辽宁电子出版社有限责任公司,杭州碎片网络科技有限公司,,,,,,,,,,
2023/3/22,武将之路,移动,湖北省扬子江影音有限责任公司,武汉正崇信息技术有限公司,,,,,,,,,,
2023/3/22,一梦九霄,移动,成都盈众九州网络科技有限公司,上海象兴网络科技有限公司,,,,,,,,,,
2023/3/22,艾尔指挥官,移动,咪咕互动娱乐有限公司,深圳市畅游天地科技有限公司,,,,,,,,,,
2023/3/22,封神殿,移动,辽宁电子出版社有限责任公司,深圳市大熊世纪网络科技有限公司,,,,,,,,,,
2023/3/22,最强潮玩团,移动,厦门大学电子出版社有限责任公司,厦门方碑科技有限公司,,,,,,,,,,
2023/3/22,古城千年梦,移动,上海商国网络科技发展有限公司,素材家（上海）网络科技有限公司,,,,,,,,,,
2023/3/22,灵能冲击,移动,杭州润趣科技有限公司,杭州万匠软件科技有限公司,,,,,,,,,,
2023/3/22,元宇城市,移动,杭州烈焰网络技术有限公司,海南伽蚂网络科技有限公司,,,,,,,,,,
2023/3/22,桃源山友会,移动,河北冠林数字出版有限公司,深圳市愿景互娱科技有限公司,,,,,,,,,,
2023/3/22,烈火战马,客户端,江苏凤凰数字传媒有限公司,苏州安琪拉网络游戏科技有限公司,,,,,,,,,,
2023/3/22,群英召唤师,移动,福州天盟数码有限公司,福州天盟数码有限公司,,,,,,,,,,
2023/3/22,重构,移动-休闲益智,上海众源网络有限公司,上海众源网络有限公司,,,,,,,,,,
2023/3/22,王国火种,移动,安徽新华电子音像出版社,安徽三七网络科技有限公司,,,,,,,,,,
2023/3/22,你不可能赢过我,移动-休闲益智,炫彩互动网络科技有限公司,北京掌信创游科技有限公司,,,,,,,,,,
2023/3/22,金牌合伙人,移动,成都盈众九州网络科技有限公司,成都光涵网络科技有限公司,,,,,,,,,,
2023/3/22,起源与勇士,移动,黑龙江龙华数字出版股份有限公司,广东星辉天拓互动娱乐有限公司,,,,,,,,,,
2023/3/22,我的梦幻城堡,移动-休闲益智,合肥乐堂动漫信息技术有限公司,合肥乐堂动漫信息技术有限公司,,,,,,,,,,
2023/3/22,旅行骑士,移动,杭州润趣科技有限公司,杭州黑狐巅峰软件技术有限责任公司,,,,,,,,,,
2023/3/22,英雄来当家,移动,华中科技大学电子音像出版社,北京开天创世科技有限公司,,,,,,,,,,
